Location,Adults_over_18,at_risk,percent_at_risk,under_65,health_risk,percent_at_risk,over_65,percent_over_65,asthma,cardovascular,diabetes,pre_diabetes,kidney,obesity,respiratory,smokers
United States,246402480,92560223,0.376,195281293,41439036,0.212,51121187,0.552,0.093,0.075,0.121,0.021,0.035,0.05,0.066,0.13
Alabama,3684158,1588905,0.431,2873170,777917,0.271,810988,0.51,0.089,0.101,0.167,0.018,0.047,0.067,0.099,0.16
Alaska,527792,172913,0.328,442335,87456,0.198,85457,0.494,0.091,0.061,0.09,0.029,0.023,0.048,0.046,0.17
Arizona,5389431,2107495,0.391,4143554,861618,0.208,1245877,0.591,0.101,0.075,0.121,0.025,0.045,0.045,0.067,0.13
Arkansas,2231289,971477,0.435,1742217,482405,0.277,489072,0.503,0.094,0.116,0.156,0.012,0.041,0.063,0.105,0.19
California,29879585,9952647,0.333,24302948,4376010,0.18,5576637,0.56,0.095,0.057,0.099,0.032,0.032,0.039,0.044,0.08
Colorado,4301492,1345398,0.313,3506700,550606,0.157,794792,0.591,0.096,0.056,0.088,0.023,0.027,0.032,0.045,0.12
Connecticut,2739381,985861,0.36,2148446,394926,0.184,590935,0.599,0.106,0.069,0.108,0.017,0.025,0.042,0.052,0.11
Delaware,739951,305395,0.413,562058,127502,0.227,177893,0.583,0.103,0.083,0.139,0.017,0.041,0.062,0.085,0.14
District Of Columbia,542174,172398,0.318,459618,89842,0.195,82556,0.479,0.102,0.049,0.091,0.029,0.028,0.036,0.045,0.11
Florida,16683102,7018513,0.421,12389357,2724768,0.22,4293745,0.612,0.074,0.09,0.13,0.022,0.044,0.039,0.077,0.13
Georgia,7748091,2803400,0.362,6321701,1377010,0.218,1426390,0.509,0.088,0.087,0.141,0.018,0.043,0.056,0.074,0.14
Hawaii,1056723,412878,0.391,798667,154822,0.194,258056,0.625,0.089,0.048,0.111,0.07,0.03,0.036,0.043,0.11
Idaho,1282329,464522,0.362,1006426,188619,0.187,275903,0.594,0.098,0.074,0.1,0.01,0.037,0.044,0.051,0.13
Illinois,9623149,3482300,0.362,7697443,1556594,0.202,1925706,0.553,0.088,0.063,0.102,0.024,0.028,0.042,0.058,0.12
Indiana,4955934,1976552,0.399,3940531,961149,0.244,1015403,0.514,0.098,0.086,0.139,0.017,0.04,0.067,0.087,0.18
Iowa,2336881,862351,0.369,1819010,344480,0.189,517871,0.601,0.09,0.073,0.114,0.013,0.028,0.064,0.061,0.15
Kansas,2124795,807193,0.38,1683235,365633,0.217,441560,0.547,0.092,0.076,0.123,0.016,0.034,0.057,0.064,0.15
Kentucky,3341735,1455749,0.436,2630671,744685,0.283,711064,0.488,0.118,0.103,0.147,0.025,0.042,0.081,0.108,0.2
Louisiana,3435791,1445420,0.421,2736213,745842,0.273,699578,0.484,0.077,0.096,0.16,0.021,0.045,0.067,0.086,0.16
Maine,1060936,451409,0.425,792994,183467,0.231,267942,0.594,0.102,0.085,0.113,0.029,0.038,0.046,0.092,0.15
Maryland,4556875,1690631,0.371,3650537,784293,0.215,906338,0.536,0.091,0.068,0.12,0.024,0.032,0.046,0.054,0.1
Massachusetts,5318415,1837581,0.346,4215360,734526,0.174,1103055,0.6,0.108,0.064,0.091,0.014,0.029,0.028,0.049,0.1
Michigan,7649977,3152031,0.412,5973998,1476052,0.247,1675979,0.532,0.113,0.084,0.133,0.019,0.038,0.066,0.084,0.16
Minnesota,4211344,1428307,0.339,3354163,571126,0.17,857181,0.6,0.085,0.066,0.1,0.017,0.029,0.046,0.044,0.13
Mississippi,2185597,929387,0.425,1724625,468415,0.272,460972,0.496,0.088,0.099,0.172,0.018,0.034,0.074,0.094,0.17
Missouri,4590784,1860608,0.405,3590211,860035,0.24,1000573,0.538,0.091,0.081,0.119,0.02,0.034,0.063,0.088,0.16
Montana,813505,317546,0.39,615520,119561,0.194,197985,0.623,0.102,0.073,0.105,0.014,0.03,0.036,0.068,0.14
Nebraska,1404355,514118,0.366,1112641,222404,0.2,291714,0.567,0.076,0.068,0.115,0.017,0.032,0.053,0.057,0.13
Nevada,2307514,833620,0.361,1833570,359676,0.196,473944,0.569,0.103,0.09,0.118,0.022,0.04,0.05,0.08,0.14
New Hampshire,1059120,428938,0.405,821964,191782,0.233,237156,0.553,0.112,0.072,0.107,0.016,0.024,0.05,0.062,0.13
New Jersey,6799427,2354252,0.346,5396351,951176,0.176,1403076,0.596,0.089,0.069,0.108,0.013,0.026,0.035,N/A,0.1
New Mexico,1575314,619893,0.394,1211046,255625,0.211,364268,0.588,0.107,0.068,0.13,0.025,0.033,0.041,0.056,0.15
New York,15028787,5550169,0.369,11914579,2435961,0.204,3114208,0.561,0.095,0.065,0.107,0.014,0.03,0.037,0.058,0.11
North Carolina,7785717,3038856,0.39,6137620,1390759,0.227,1648097,0.542,0.08,0.079,0.134,0.025,0.036,0.05,0.078,0.15
North Dakota,560523,194056,0.346,450954,84487,0.187,109569,0.565,0.082,0.075,0.109,0.015,0.033,0.048,0.051,0.15
Ohio,8817672,3506796,0.398,6891542,1580666,0.229,1926130,0.549,0.1,0.087,0.136,0.02,0.039,0.068,0.09,0.19
Oklahoma,2879096,1175713,0.408,2280666,577283,0.253,598430,0.509,0.11,0.095,0.147,0.023,0.045,0.076,0.087,0.18
Oregon,3257427,1297341,0.398,2528112,568026,0.225,729315,0.562,0.106,0.062,0.104,0.034,0.028,0.044,0.061,0.13
Pennsylvania,9798951,3898304,0.398,7547656,1647009,0.218,2251295,0.578,0.095,0.086,0.121,0.019,0.036,0.053,0.072,0.14
Rhode Island,814843,312092,0.383,639889,137138,0.214,174954,0.561,0.124,0.078,0.125,0.024,0.031,0.041,0.069,0.13
South Carolina,3838837,1590048,0.414,2957890,709101,0.24,880947,0.554,0.094,0.093,0.154,0.023,0.041,0.065,0.081,0.16
South Dakota,639915,226086,0.353,500965,87136,0.174,138950,0.615,0.081,0.078,0.095,0.023,0.032,0.051,0.059,0.16
Tennessee,5105824,2121941,0.416,4031127,1047244,0.26,1074697,0.506,0.103,0.089,0.149,0.017,0.038,0.064,0.097,0.18
Texas,20715876,7199553,0.348,17205161,3688838,0.214,3510715,0.488,0.078,0.067,0.133,0.017,0.031,0.055,0.052,0.13
Utah,2189374,657278,0.3,1846133,314037,0.17,343241,0.522,0.107,0.057,0.097,0.017,0.033,0.045,0.041,0.07
Vermont,490326,191781,0.391,371176,72631,0.196,119150,0.621,0.107,0.075,0.089,0.017,0.026,0.04,0.066,0.12
Virginia,6343962,2275390,0.359,5048192,979620,0.194,1295770,0.569,0.09,0.071,0.126,0.018,0.032,0.049,0.065,0.12
Washington,5733155,2013681,0.351,4590384,870910,0.19,1142771,0.568,0.098,0.067,0.098,0.019,0.033,0.044,0.052,0.11
West Virginia,1397752,689770,0.493,1045095,337113,0.323,352657,0.511,0.125,0.118,0.171,0.018,0.051,0.081,0.123,0.22
Wisconsin,4415638,1612619,0.365,3459881,656862,0.19,955757,0.593,0.096,0.061,0.1,0.011,0.031,0.051,0.056,0.13
Wyoming,431859,157117,0.364,336991,62249,0.185,94868,0.604,0.099,0.072,0.097,0.018,0.029,0.035,0.068,0.17
